i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2038,2243.5,60.8,4.72,7.236
Gas-CC-CCS_mod,2039,2205.1,59.8,4.67,7.236
Gas-CC-CCS_mod,2040,2166.7,58.9,4.62,7.236
Gas-CC-CCS_mod,2041,2128.3,58.0,4.57,7.236
Gas-CC-CCS_mod,2042,2089.8,57.0,4.52,7.236
Gas-CC-CCS_mod,2043,2051.4,56.1,4.48,7.236
Gas-CC-CCS_mod,2044,2013.0,55.2,4.43,7.236
Gas-CC-CCS_mod,2045,1974.6,54.2,4.38,7.236
Gas-CC-CCS_mod,2046,1936.2,53.3,4.33,7.236
Gas-CC-CCS_mod,2047,1897.8,52.3,4.28,7.236
Gas-CC-CCS_mod,2048,1859.4,51.4,4.23,7.236
Gas-CC-CCS_mod,2049,1821.0,50.5,4.18,7.236
Gas-CC-CCS_mod,2050,1782.6,49.5,4.13,7.236
Gas-CC-CCS_mod,2051,1766.2,49.1,4.11,7.236
Gas-CC-CCS_mod,2052,1749.8,48.7,4.09,7.236
Gas-CC-CCS_mod,2053,1733.4,48.3,4.06,7.236
Gas-CC-CCS_mod,2054,1717.0,47.8,4.04,7.236
Gas-CC-CCS_mod,2055,1700.6,47.4,4.01,7.236
Gas-CC-CCS_mod,2056,1684.2,47.0,3.99,7.236
Gas-CC-CCS_mod,2057,1667.9,46.6,3.97,7.236
Gas-CC-CCS_mod,2058,1651.5,46.2,3.94,7.236
Gas-CC-CCS_mod,2059,1635.1,45.8,3.92,7.236
Gas-CC-CCS_mod,2060,1618.7,45.3,3.89,7.236
Gas-CC_H_1x1-CCS_mod,2010,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2968.7,78,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,2940.2,77.3,5.27,6.848
Gas-CC_H_1x1-CCS_mod,2024,2911.7,76.6,5.23,6.848
Gas-CC_H_1x1-CCS_mod,2025,2883.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2026,2854.8,75.2,5.16,6.848
Gas-CC_H_1x1-CCS_mod,2027,2826.3,74.5,5.12,6.848
Gas-CC_H_1x1-CCS_mod,2028,2797.8,73.8,5.09,6.848
Gas-CC_H_1x1-CCS_mod,2029,2769.3,73.1,5.05,6.848
Gas-CC_H_1x1-CCS_mod,2030,2740.8,72.4,5.01,6.848
Gas-CC_H_1x1-CCS_mod,2031,2712.3,71.7,4.98,6.848
Gas-CC_H_1x1-CCS_mod,2032,2683.8,71,4.94,6.848
Gas-CC_H_1x1-CCS_mod,2033,2655.4,70.3,4.9,6.848
Gas-CC_H_1x1-CCS_mod,2034,2626.9,69.6,4.87,6.848
Gas-CC_H_1x1-CCS_mod,2035,2598.4,68.9,4.83,6.848
Gas-CC_H_1x1-CCS_mod,2036,2569.9,68.2,4.8,6.848
Gas-CC_H_1x1-CCS_mod,2037,2541.4,67.5,4.76,6.848
Gas-CC_H_1x1-CCS_mod,2038,2512.9,66.8,4.72,6.848
Gas-CC_H_1x1-CCS_mod,2039,2484.5,66.1,4.69,6.848
Gas-CC_H_1x1-CCS_mod,2040,2456,65.5,4.65,6.848
Gas-CC_H_1x1-CCS_mod,2041,2427.5,64.8,4.61,6.848
Gas-CC_H_1x1-CCS_mod,2042,2399,64.1,4.58,6.848
Gas-CC_H_1x1-CCS_mod,2043,2370.5,63.4,4.54,6.848
Gas-CC_H_1x1-CCS_mod,2044,2342,62.7,4.51,6.848
Gas-CC_H_1x1-CCS_mod,2045,2313.5,62,4.47,6.848
Gas-CC_H_1x1-CCS_mod,2046,2285.1,61.3,4.43,6.848
Gas-CC_H_1x1-CCS_mod,2047,2256.6,60.6,4.4,6.848
Gas-CC_H_1x1-CCS_mod,2048,2228.1,59.9,4.36,6.848
Gas-CC_H_1x1-CCS_mod,2049,2199.6,59.2,4.32,6.848
Gas-CC_H_1x1-CCS_mod,2050,2171.1,58.5,4.29,6.848
Gas-CC_H_2x1-CCS_mod,2010,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2011,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2012,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2013,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2014,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2015,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2016,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2017,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2018,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2019,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2020,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2021,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2022,2524.1,65.8,4.86,7.007
Gas-CC_H_2x1-CCS_mod,2023,2499.9,65.2,4.83,7.007
Gas-CC_H_2x1-CCS_mod,2024,2475.7,64.7,4.8,7.007
Gas-CC_H_2x1-CCS_mod,2025,2451.5,64.1,4.77,7.007
Gas-CC_H_2x1-CCS_mod,2026,2427.3,63.5,4.74,7.007
Gas-CC_H_2x1-CCS_mod,2027,2403.1,62.9,4.71,7.007
Gas-CC_H_2x1-CCS_mod,2028,2378.9,62.3,4.68,7.007
Gas-CC_H_2x1-CCS_mod,2029,2354.7,61.7,4.65,7.007
Gas-CC_H_2x1-CCS_mod,2030,2330.5,61.1,4.62,7.007
Gas-CC_H_2x1-CCS_mod,2031,2306.3,60.5,4.59,7.007
Gas-CC_H_2x1-CCS_mod,2032,2282.1,59.9,4.55,7.007
Gas-CC_H_2x1-CCS_mod,2033,2257.9,59.3,4.52,7.007
Gas-CC_H_2x1-CCS_mod,2034,2233.7,58.7,4.49,7.007
Gas-CC_H_2x1-CCS_mod,2035,2209.5,58.2,4.46,7.007
Gas-CC_H_2x1-CCS_mod,2036,2185.3,57.6,4.43,7.007
Gas-CC_H_2x1-CCS_mod,2037,2161.1,57,4.4,7.007
Gas-CC_H_2x1-CCS_mod,2038,2136.9,56.4,4.37,7.007
Gas-CC_H_2x1-CCS_mod,2039,2112.7,55.8,4.34,7.007
Gas-CC_H_2x1-CCS_mod,2040,2088.5,55.2,4.31,7.007
Gas-CC_H_2x1-CCS_mod,2041,2064.3,54.6,4.28,7.007
Gas-CC_H_2x1-CCS_mod,2042,2040.1,54,4.25,7.007
Gas-CC_H_2x1-CCS_mod,2043,2015.9,53.4,4.22,7.007
Gas-CC_H_2x1-CCS_mod,2044,1991.7,52.8,4.19,7.007
Gas-CC_H_2x1-CCS_mod,2045,1967.5,52.2,4.16,7.007
Gas-CC_H_2x1-CCS_mod,2046,1943.3,51.7,4.13,7.007
Gas-CC_H_2x1-CCS_mod,2047,1919.1,51.1,4.09,7.007
Gas-CC_H_2x1-CCS_mod,2048,1894.9,50.5,4.06,7.007
Gas-CC_H_2x1-CCS_mod,2049,1870.7,49.9,4.03,7.007
Gas-CC_H_2x1-CCS_mod,2050,1846.5,49.3,4,7.007
